id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,category_name
18UsAG7SfOQ5sxJEdjAMH0,Be My Mistake,0.835,0.572,256687,0.155,0.000137,6.0,0.0906,-14.405,1.0,0.0344,109.923,3.0,0.0949,74,active
6PQK1Y3Dl6dym9pj0y9Chy,Give You What You Want,0.222,0.691,159330,0.656,0.00111,10.0,0.153,-5.673,0.0,0.0679,89.467,4.0,0.393,74,active
2z1zCDlx7GjDGSnaeHFrJL,Standing In The Rain,0.324,0.132,162992,0.952,0.954,11.0,0.843,-30.951,0.0,0.0589,66.484,3.0,1e-05,56,relax
7HT8rn9DzwGuyQ7oTTibx9,Don't It Drive You Crazy,0.127,0.55,379426,0.739,0.000156,2.0,0.51,-9.742,0.0,0.0469,83.456,4.0,0.918,35,active
2cc8Sw1OnCuA5bV8nqWqpE,You,0.0592,0.691,233386,0.695,0.0,0.0,0.0647,-5.6,1.0,0.0367,106.064,4.0,0.514,75,relax
1tZmwafD2SiNJZ4a9DE7YW,Keyfi Yolunda Aşkı Sonunda,0.122,0.772,206184,0.871,0.000189,6.0,0.0935,-6.909,0.0,0.0485,122.017,4.0,0.941,56,active
5ye1TParxcolbnNsOXO8qE,Sleep Well,0.786,0.358,175875,0.363,7.04e-06,8.0,0.142,-10.559,1.0,0.034,151.15,3.0,0.173,80,relax
0I42DRVbtMJr0bLEO6ZQB6,Garasia Rain Forest,0.348,0.468,127059,0.968,0.933,11.0,0.907,-26.555,0.0,0.0374,54.049,3.0,0.0147,69,relax
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),0.367,0.61,201787,0.725,0.0,8.0,0.154,-5.131,1.0,0.15,146.163,4.0,0.291,78,active
2hLczPN5CH5qhc6J4WBJHs,My Feelings For You - Mark Knight Remix,0.0055,0.728,224515,0.95,0.00386,11.0,0.33,-4.216,0.0,0.0977,124.003,4.0,0.812,67,active
